id,title,artists,releasename,releaseyear,releaseurl,cd,track,volume,spotify_id
82,Anywhere,Rita Ora,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,22,100,0T9TCfZwrB42Xu8uySv17M
83,...Baby One More Time,Britney Spears,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,1,100,3MjUtNVVq3C8Fn0MP3zhXa
84,Everybody (Backstreet's Back),Backstreet Boys,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,2,100,4rTeOSYqwXNz5qPR2DUTFZ
85,Tage Wie Diese,Die Toten Hosen,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,3,100,2lYsCjTvXIHOqT8xSbK2jq
86,Poker Face,Lady Gaga,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,4,100,5R8dQOPq8haW94K7mgERlO
87,Cheerleader (Felix Jaehn Remix),Omi (13),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,5,100,023OVLNzXhX0j7CxswUt6D
88,Angels,Robbie Williams,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,6,100,1daDRI9ahBonbWD8YcxOIB
89,Vom Selben Stern,Ich + Ich,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,7,100,4kCYJigsNQJqs6kpMSlsmL
90,Au Revoir,"Mark Forster,Sido",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,8,100,31MdjeZwF0FBt9vw7qO1IT
91,I Follow Rivers,Lykke Li,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,9,100,4Jv7lweGIUOFQ7Oq2AtAh9
92,Human,Rag'n'Bone Man,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,10,100,5AihIu9yF3flkw1jFMyfwW
93,Patience,Take That,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,11,100,1OEoNpiyqBghuEUaT6Je6U
94,I Can Help Myself,The Kelly Family,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,12,100,6b6IMqP565TbtFFZg9iFf3
95,Hall Of Fame,"The Script,Will I Am",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,13,100,1X1DWw2pcNZ8zSub3uhlNz
96,Durch Den Monsun,Tokio Hotel,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,14,100,41YOS7VuxHEEwYHLfa7VWM
97,Hamma!,Culcha Candela,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,15,100,3Q7rxsGtlabDw0yBTnDnR5
98,Die Perfekte Welle,Juli,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,16,100,5OPO2yBc82M6rjANifzzzh
99,"Whenever, Whenever",Shakira,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,17,100,2lnzGkdtDj5mtlcOW2yRtG
100,Children,Robert Miles,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,18,100,15HgR9Ht4obJOcMG4wregp
101,Nur Noch Kurz Die Welt Retten,Tim Bendzko,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,19,100,0Wq6whEjKeAAUi4nEim1DA
